,ARR_DRT,ARR_GCH,CLASSE,DEB_DRT,DEB_GCH,DIR_VOIE,FIN_DRT,FIN_GCH,FIRE_STATION,ID_TRC,LIE_VOIE,LIM_DRT,LIM_GCH,Latitude,Longitude,NOM_VOIE,SENS_CIR,TIME_TO_FS,TYP_VOIE
56927,Saint-Laurent,Saint-Laurent,0,0,3562,,0,3630,FALSE,1609271,,Montréal,Montréal,45.52256178,-73.73263558,Limoges,0,0.078087877,rue
56928,Saint-Laurent,Saint-Laurent,0,2695,0,,2735,0,FALSE,1609273,,Montréal,Montréal,45.5221067,-73.73330276,L'Heureux,0,0.07636016,rue
56930,Saint-Laurent,Saint-Laurent,6,0,0,,0,0,FALSE,1609276,,Montréal,Montréal,45.52203261,-73.7334132,Toupin,-1,0.076637275,boulevard
56931,Saint-Laurent,Saint-Laurent,0,2825,2830,,2875,2870,FALSE,1609277,,Montréal,Montréal,45.52121864,-73.73453283,L'Heureux,0,0.079370756,rue
56933,Saint-Laurent,Saint-Laurent,6,0,3520,,0,3620,FALSE,1609279,,Montréal,Montréal,45.52071394,-73.7313175,Toupin,-1,0.07190704,boulevard
56934,Saint-Laurent,Saint-Laurent,0,0,2830,,0,2848,FALSE,1609283,,Montréal,Montréal,45.52026652,-73.73189511,Métivier,0,0.073365852,rue
56935,Saint-Laurent,Saint-Laurent,0,2865,2850,,2905,2900,FALSE,1609284,,Montréal,Montréal,45.519389,-73.73302053,Métivier,0,0.076210714,rue
56936,Saint-Laurent,Saint-Laurent,0,3535,0,,3555,0,FALSE,1609285,,Montréal,Montréal,45.52070692,-73.7326113,McCarthy,0,0.075270042,rue
56937,Saint-Laurent,Saint-Laurent,0,3525,3520,,3555,3540,FALSE,1609286,,Montréal,Montréal,45.51985032,-73.73377947,Tétrault,0,0.078265094,rue
56950,Saint-Laurent,Saint-Laurent,0,3345,3370,,3455,3450,FALSE,1609288,,Montréal,Montréal,45.51926818,-73.73183981,Geoffrion,0,0.073258145,rue
56972,Saint-Laurent,Saint-Laurent,0,2135,2160,,2265,2290,FALSE,1609299,,Montréal,Montréal,45.52517314,-73.7217111,Prizeau,0,0.07486866,rue
